1,0,0,
0,1,0,
0,0,1,
1,3.84604e-07,-3.31914e-07,
-3.84604e-07,1,-1.15426e-07,
3.31914e-07,1.15427e-07,1,
1,7.69208e-07,-6.63829e-07,
-7.69208e-07,1,-2.30853e-07,
6.63829e-07,2.30853e-07,1,
1,1.15381e-06,-9.95743e-07,
-1.15381e-06,1,-3.46279e-07,
9.95743e-07,3.4628e-07,1,
1,1.53842e-06,-1.32766e-06,
-1.53842e-06,1,-4.61705e-07,
1.32766e-06,4.61707e-07,1,
1,1.92302e-06,-1.65957e-06,
-1.92302e-06,1,-5.77132e-07,
1.65957e-06,5.77135e-07,1,
1,2.30762e-06,-1.99149e-06,
-2.30762e-06,1,-6.92558e-07,
1.99148e-06,6.92562e-07,1,
1,2.69223e-06,-2.3234e-06,
-2.69223e-06,1,-8.07984e-07,
2.3234e-06,8.0799e-07,1,
1,3.07683e-06,-2.65532e-06,
-3.07683e-06,1,-9.2341e-07,
2.65531e-06,9.23418e-07,1,
1,3.46143e-06,-2.98723e-06,
-3.46144e-06,1,-1.03884e-06,
2.98723e-06,1.03885e-06,1,
1,3.84604e-06,-3.31914e-06,
-3.84604e-06,1,-1.15426e-06,
3.31914e-06,1.15428e-06,1,
1,4.23064e-06,-3.65106e-06,
-4.23064e-06,1,-1.26969e-06,
3.65105e-06,1.2697e-06,1,
1,4.61524e-06,-3.98297e-06,
-4.61525e-06,1,-1.38511e-06,
3.98297e-06,1.38513e-06,1,
1,4.99985e-06,-4.31489e-06,
-4.99985e-06,1,-1.50054e-06,
4.31488e-06,1.50056e-06,1,
1,5.38445e-06,-4.6468e-06,
-5.38446e-06,1,-1.61597e-06,
4.64679e-06,1.61599e-06,1,
1,5.76905e-06,-4.97872e-06,
-5.76906e-06,1,-1.73139e-06,
4.97871e-06,1.73142e-06,1,
1,6.15366e-06,-5.31063e-06,
-6.15367e-06,1,-1.84682e-06,
5.31062e-06,1.84685e-06,1,
1,6.53826e-06,-5.64255e-06,
-6.53827e-06,1,-1.96224e-06,
5.64253e-06,1.96228e-06,1,
1,6.92286e-06,-5.97446e-06,
-6.92288e-06,1,-2.07767e-06,
5.97445e-06,2.07771e-06,1,
1,7.30747e-06,-6.30638e-06,
-7.30748e-06,1,-2.1931e-06,
6.30636e-06,2.19314e-06,1,
1,7.69207e-06,-6.63829e-06,
-7.69208e-06,1,-2.30852e-06,
6.63827e-06,2.30857e-06,1,
1,8.07667e-06,-6.9702e-06,
-8.07669e-06,1,-2.42395e-06,
6.97019e-06,2.424e-06,1,
1,8.46128e-06,-7.30212e-06,
-8.46129e-06,1,-2.53937e-06,
7.3021e-06,2.53943e-06,1,
1,8.84588e-06,-7.63403e-06,
-8.8459e-06,1,-2.6548e-06,
7.63401e-06,2.65487e-06,1,
1,9.23048e-06,-7.96595e-06,
-9.2305e-06,1,-2.77022e-06,
7.96592e-06,2.7703e-06,1,
1,9.61508e-06,-8.29786e-06,
-9.61511e-06,1,-2.88565e-06,
8.29784e-06,2.88573e-06,1,
1,9.99969e-06,-8.62978e-06,
-9.99971e-06,1,-3.00107e-06,
8.62975e-06,3.00116e-06,1,
1,1.03843e-05,-8.96169e-06,
-1.03843e-05,1,-3.1165e-06,
8.96166e-06,3.11659e-06,1,
1,1.07689e-05,-9.29361e-06,
-1.07689e-05,1,-3.23192e-06,
9.29357e-06,3.23202e-06,1,
1,1.11535e-05,-9.62552e-06,
-1.11535e-05,1,-3.34735e-06,
9.62548e-06,3.34746e-06,1,
1,1.15381e-05,-9.95744e-06,
-1.15381e-05,1,-3.46278e-06,
9.9574e-06,3.46289e-06,1,
1,1.19227e-05,-1.02894e-05,
-1.19227e-05,1,-3.5782e-06,
1.02893e-05,3.57832e-06,1,
1,1.23073e-05,-1.06213e-05,
-1.23073e-05,1,-3.69363e-06,
1.06212e-05,3.69376e-06,1,
1,1.26919e-05,-1.09532e-05,
-1.26919e-05,1,-3.80905e-06,
1.09531e-05,3.80919e-06,1,
1,1.30765e-05,-1.12851e-05,
-1.30766e-05,1,-3.92448e-06,
1.1285e-05,3.92462e-06,1,
1,1.34611e-05,-1.1617e-05,
-1.34612e-05,1,-4.0399e-06,
1.1617e-05,4.04006e-06,1,
1,1.38457e-05,-1.19489e-05,
-1.38458e-05,1,-4.15533e-06,
1.19489e-05,4.15549e-06,1,
1,1.42303e-05,-1.22808e-05,
-1.42304e-05,1,-4.27075e-06,
1.22808e-05,4.27093e-06,1,
1,1.46149e-05,-1.26128e-05,
-1.4615e-05,1,-4.38618e-06,
1.26127e-05,4.38636e-06,1,
1,1.49995e-05,-1.29447e-05,
-1.49996e-05,1,-4.5016e-06,
1.29446e-05,4.5018e-06,1,
1,1.53841e-05,-1.32766e-05,
-1.53842e-05,1,-4.61703e-06,
1.32765e-05,4.61723e-06,1,
1,1.57687e-05,-1.36085e-05,
-1.57688e-05,1,-4.73245e-06,
1.36084e-05,4.73267e-06,1,
1,1.61533e-05,-1.39404e-05,
-1.61534e-05,1,-4.84788e-06,
1.39403e-05,4.8481e-06,1,
1,1.65379e-05,-1.42723e-05,
-1.6538e-05,1,-4.9633e-06,
1.42722e-05,4.96354e-06,1,
1,1.69225e-05,-1.46042e-05,
-1.69226e-05,1,-5.07873e-06,
1.46042e-05,5.07897e-06,1,
1,1.73071e-05,-1.49362e-05,
-1.73072e-05,1,-5.19415e-06,
1.49361e-05,5.19441e-06,1,
1,1.76917e-05,-1.52681e-05,
-1.76918e-05,1,-5.30957e-06,
1.5268e-05,5.30984e-06,1,
1,1.80763e-05,-1.56e-05,
